Kod;Nazwa;przeciêtne miesiêczne wynagrodzenia brutto w relacji do œredniej krajowej (Polska=100)
0000000;POLSKA;100,0
0200000;DOLNOŒL¥SKIE;99,3
0201000;Powiat boles³awiecki;81,2
0202000;Powiat dzier¿oniowski;82,4
0203000;Powiat g³ogowski;84,8
0204000;Powiat górowski;75,6
0205000;Powiat jaworski;77,3
0206000;Powiat jeleniogórski;78,6
0207000;Powiat kamiennogórski;78,6
0208000;Powiat k³odzki;81,6
0209000;Powiat legnicki;79,7
0210000;Powiat lubañski;75,7
0211000;Powiat lubiñski;175,0
0212000;Powiat lwówecki;79,0
0213000;Powiat milicki;76,3
0214000;Powiat oleœnicki;77,8
0215000;Powiat o³awski;88,2
0216000;Powiat polkowicki;96,8
0217000;Powiat strzeliñski;86,1
0218000;Powiat œredzki;87,1
0219000;Powiat œwidnicki;87,6
0220000;Powiat trzebnicki;87,5
0221000;Powiat wa³brzyski;95,5
0222000;Powiat wo³owski;88,4
0223000;Powiat wroc³awski;93,0
0224000;Powiat z¹bkowicki;78,9
0225000;Powiat zgorzelecki;91,2
0226000;Powiat z³otoryjski;92,0
0261000;Powiat m.Jelenia Góra;86,5
0262000;Powiat m.Legnica;80,5
0264000;Powiat m.Wroc³aw;107,0
0400000;KUJAWSKO-POMORSKIE;84,7
0401000;Powiat aleksandrowski;73,6
0402000;Powiat brodnicki;75,5
0403000;Powiat bydgoski;78,9
0404000;Powiat che³miñski;78,2
0405000;Powiat golubsko-dobrzyñski;77,3
0406000;Powiat grudzi¹dzki;76,7
0407000;Powiat inowroc³awski;81,1
0408000;Powiat lipnowski;74,0
0409000;Powiat mogileñski;76,0
0410000;Powiat nakielski;78,7
0411000;Powiat radziejowski;75,1
0412000;Powiat rypiñski;77,0
0413000;Powiat sêpoleñski;78,5
0414000;Powiat œwiecki;84,5
0415000;Powiat toruñski;73,4
0416000;Powiat tucholski;75,4
0417000;Powiat w¹brzeski;77,5
0418000;Powiat w³oc³awski;72,8
0419000;Powiat ¿niñski;73,0
0461000;Powiat m.Bydgoszcz;92,7
0462000;Powiat m.Grudzi¹dz;76,9
0463000;Powiat m.Toruñ;93,8
0464000;Powiat m.W³oc³awek;87,9
0600000;LUBELSKIE;90,2
0601000;Powiat bialski;76,0
0602000;Powiat bi³gorajski;77,5
0603000;Powiat che³mski;76,6
0604000;Powiat hrubieszowski;80,0
0605000;Powiat janowski;76,1
0606000;Powiat krasnostawski;81,7
0607000;Powiat kraœnicki;74,8
0608000;Powiat lubartowski;80,0
0609000;Powiat lubelski;77,4
0610000;Powiat ³êczyñski;128,9
0611000;Powiat ³ukowski;75,3
0612000;Powiat opolski;79,2
0613000;Powiat parczewski;78,0
0614000;Powiat pu³awski;94,2
0615000;Powiat radzyñski;79,3
0616000;Powiat rycki;80,0
0617000;Powiat œwidnicki;84,0
0618000;Powiat tomaszowski;76,0
0619000;Powiat w³odawski;79,9
0620000;Powiat zamojski;74,2
0661000;Powiat m.Bia³a Podlaska;90,6
0662000;Powiat m.Che³m;82,4
0663000;Powiat m.Lublin;101,6
0664000;Powiat m.Zamoœæ;87,1
0800000;LUBUSKIE;85,0
0801000;Powiat gorzowski;89,4
0802000;Powiat kroœnieñski;81,5
0803000;Powiat miêdzyrzecki;82,1
0804000;Powiat nowosolski;81,6
0805000;Powiat s³ubicki;83,8
0806000;Powiat strzelecko-drezdenecki;84,2
0807000;Powiat sulêciñski;70,3
0808000;Powiat œwiebodziñski;76,9
0809000;Powiat zielonogórski;84,3
0810000;Powiat ¿agañski;74,5
0811000;Powiat ¿arski;89,8
0812000;Powiat wschowski;76,4
0861000;Powiat m.Gorzów Wielkopolski;87,8
0862000;Powiat m.Zielona Góra;91,4
1000000;£ÓDZKIE;89,3
1001000;Powiat be³chatowski;134,7
1002000;Powiat kutnowski;83,6
1003000;Powiat ³aski;72,3
1004000;Powiat ³êczycki;84,2
1005000;Powiat ³owicki;79,1
1006000;Powiat ³ódzki wschodni;74,4
1007000;Powiat opoczyñski;77,1
1008000;Powiat pabianicki;76,3
1009000;Powiat pajêczañski;85,9
1010000;Powiat piotrkowski;71,7
1011000;Powiat poddêbicki;89,9
1012000;Powiat radomszczañski;71,9
1013000;Powiat rawski;81,4
1014000;Powiat sieradzki;80,5
1015000;Powiat skierniewicki;77,2
1016000;Powiat tomaszowski;79,9
1017000;Powiat wieluñski;71,6
1018000;Powiat wieruszowski;71,6
1019000;Powiat zduñskowolski;78,1
1020000;Powiat zgierski;83,6
1021000;Powiat brzeziñski;69,3
1061000;Powiat m.£ódŸ;94,4
1062000;Powiat m.Piotrków Trybunalski;71,6
1063000;Powiat m.Skierniewice;81,5
1200000;MA£OPOLSKIE;92,3
1201000;Powiat bocheñski;85,5
1202000;Powiat brzeski;76,6
1203000;Powiat chrzanowski;86,5
1204000;Powiat d¹browski;78,7
1205000;Powiat gorlicki;76,6
1206000;Powiat krakowski;93,0
1207000;Powiat limanowski;75,8
1208000;Powiat miechowski;81,0
1209000;Powiat myœlenicki;80,1
1210000;Powiat nowos¹decki;76,0
1211000;Powiat nowotarski;74,6
1212000;Powiat olkuski;94,2
1213000;Powiat oœwiêcimski;86,3
1214000;Powiat proszowicki;80,9
1215000;Powiat suski;79,2
1216000;Powiat tarnowski;75,5
1217000;Powiat tatrzañski;81,6
1218000;Powiat wadowicki;74,9
1219000;Powiat wielicki;87,0
1261000;Powiat m.Kraków;103,2
1262000;Powiat m.Nowy S¹cz;82,3
1263000;Powiat m.Tarnów;87,8
1400000;MAZOWIECKIE;124,6
1401000;Powiat bia³obrzeski;87,4
1402000;Powiat ciechanowski;91,1
1403000;Powiat garwoliñski;88,9
1404000;Powiat gostyniñski;78,9
1405000;Powiat grodziski;101,8
1406000;Powiat grójecki;91,8
1407000;Powiat kozienicki;111,2
1408000;Powiat legionowski;95,2
1409000;Powiat lipski;79,8
1410000;Powiat ³osicki;81,4
1411000;Powiat makowski;79,2
1412000;Powiat miñski;84,3
1413000;Powiat m³awski;70,2
1414000;Powiat nowodworski;111,0
1415000;Powiat ostro³êcki;85,4
1416000;Powiat ostrowski;82,4
1417000;Powiat otwocki;95,5
1418000;Powiat piaseczyñski;102,8
1419000;Powiat p³ocki;82,9
1420000;Powiat p³oñski;87,3
1421000;Powiat pruszkowski;124,4
1422000;Powiat przasnyski;84,8
1423000;Powiat przysuski;82,0
1424000;Powiat pu³tuski;80,4
1425000;Powiat radomski;74,9
1426000;Powiat siedlecki;76,3
1427000;Powiat sierpecki;81,9
1428000;Powiat sochaczewski;95,1
1429000;Powiat soko³owski;81,7
1430000;Powiat szyd³owiecki;76,5
1432000;Powiat warszawski zachodni;107,1
1433000;Powiat wêgrowski;78,4
1434000;Powiat wo³omiñski;91,3
1435000;Powiat wyszkowski;81,0
1436000;Powiat zwoleñski;78,9
1437000;Powiat ¿uromiñski;77,5
1438000;Powiat ¿yrardowski;96,1
1461000;Powiat m.Ostro³êka;98,7
1462000;Powiat m.P³ock;120,3
1463000;Powiat m.Radom;91,3
1464000;Powiat m.Siedlce;92,9
1465000;Powiat m. st. Warszawa;136,7
1600000;OPOLSKIE;91,3
1601000;Powiat brzeski;81,4
1602000;Powiat g³ubczycki;83,8
1603000;Powiat kêdzierzyñsko-kozielski;102,4
1604000;Powiat kluczborski;82,9
1605000;Powiat krapkowicki;110,6
1606000;Powiat namys³owski;82,5
1607000;Powiat nyski;79,6
1608000;Powiat oleski;79,5
1609000;Powiat opolski;83,6
1610000;Powiat prudnicki;79,5
1611000;Powiat strzelecki;85,3
1661000;Powiat m.Opole;103,1
1800000;PODKARPACKIE;83,8
1801000;Powiat bieszczadzki;79,5
1802000;Powiat brzozowski;76,8
1803000;Powiat dêbicki;79,1
1804000;Powiat jaros³awski;82,1
1805000;Powiat jasielski;81,1
1806000;Powiat kolbuszowski;73,4
1807000;Powiat kroœnieñski;72,8
1808000;Powiat le¿ajski;84,5
1809000;Powiat lubaczowski;73,9
1810000;Powiat ³añcucki;73,2
1811000;Powiat mielecki;84,5
1812000;Powiat ni¿añski;73,7
1813000;Powiat przemyski;77,7
1814000;Powiat przeworski;76,7
1815000;Powiat ropczycko-sêdziszowski;80,3
1816000;Powiat rzeszowski;78,0
1817000;Powiat sanocki;77,9
1818000;Powiat stalowowolski;86,2
1819000;Powiat strzy¿owski;75,1
1820000;Powiat tarnobrzeski;84,4
1821000;Powiat leski;83,6
1861000;Powiat m.Krosno;74,3
1862000;Powiat m.Przemyœl;84,8
1863000;Powiat m.Rzeszów;99,8
1864000;Powiat m.Tarnobrzeg;78,1
2000000;PODLASKIE;87,9
2001000;Powiat augustowski;92,4
2002000;Powiat bia³ostocki;79,0
2003000;Powiat bielski;93,2
2004000;Powiat grajewski;92,4
2005000;Powiat hajnowski;83,4
2006000;Powiat kolneñski;81,1
2007000;Powiat ³om¿yñski;90,6
2008000;Powiat moniecki;82,7
2009000;Powiat sejneñski;85,0
2010000;Powiat siemiatycki;77,7
2011000;Powiat sokólski;81,9
2012000;Powiat suwalski;76,1
2013000;Powiat wysokomazowiecki;82,9
2014000;Powiat zambrowski;80,3
2061000;Powiat m.Bia³ystok;94,4
2062000;Powiat m.£om¿a;81,0
2063000;Powiat m.Suwa³ki;81,9
2200000;POMORSKIE;98,5
2201000;Powiat bytowski;80,5
2202000;Powiat chojnicki;74,4
2203000;Powiat cz³uchowski;81,1
2204000;Powiat gdañski;90,0
2205000;Powiat kartuski;80,5
2206000;Powiat koœcierski;76,5
2207000;Powiat kwidzyñski;88,2
2208000;Powiat lêborski;82,9
2209000;Powiat malborski;82,3
2210000;Powiat nowodworski;80,1
2211000;Powiat pucki;83,6
2212000;Powiat s³upski;81,0
2213000;Powiat starogardzki;85,4
2214000;Powiat tczewski;89,1
2215000;Powiat wejherowski;84,4
2216000;Powiat sztumski;75,7
2261000;Powiat m.Gdañsk;119,6
2262000;Powiat m.Gdynia;106,6
2263000;Powiat m.S³upsk;87,1
2264000;Powiat m.Sopot;114,7
2400000;ŒL¥SKIE;102,7
2401000;Powiat bêdziñski;83,9
2402000;Powiat bielski;84,1
2403000;Powiat cieszyñski;82,7
2404000;Powiat czêstochowski;77,4
2405000;Powiat gliwicki;80,9
2406000;Powiat k³obucki;70,2
2407000;Powiat lubliniecki;82,8
2408000;Powiat miko³owski;84,3
2409000;Powiat myszkowski;76,9
2410000;Powiat pszczyñski;82,0
2411000;Powiat raciborski;87,8
2412000;Powiat rybnicki;83,4
2413000;Powiat tarnogórski;83,3
2414000;Powiat bieruñsko-lêdziñski;89,3
2415000;Powiat wodzis³awski;75,8
2416000;Powiat zawierciañski;87,3
2417000;Powiat ¿ywiecki;98,8
2461000;Powiat m.Bielsko-Bia³a;98,4
2462000;Powiat m.Bytom;89,6
2463000;Powiat m.Chorzów;88,6
2464000;Powiat m.Czêstochowa;87,7
2465000;Powiat m.D¹browa Górnicza;110,4
2466000;Powiat m.Gliwice;110,3
2467000;Powiat m.Jastrzêbie-Zdrój;151,8
2468000;Powiat m.Jaworzno;117,8
2469000;Powiat m.Katowice;132,9
2470000;Powiat m.Mys³owice;86,2
2471000;Powiat m.Piekary Œl¹skie;82,8
2472000;Powiat m.Ruda Œl¹ska;86,2
2473000;Powiat m.Rybnik;93,9
2474000;Powiat m.Siemianowice Œl¹skie;89,4
2475000;Powiat m.Sosnowiec;90,6
2476000;Powiat m.Œwiêtoch³owice;77,8
2477000;Powiat m.Tychy;95,8
2478000;Powiat m.Zabrze;98,1
2479000;Powiat m.¯ory;85,8
2600000;ŒWIÊTOKRZYSKIE;86,5
2601000;Powiat buski;78,6
2602000;Powiat jêdrzejowski;88,5
2603000;Powiat kazimierski;76,8
2604000;Powiat kielecki;78,9
2605000;Powiat konecki;79,9
2606000;Powiat opatowski;80,0
2607000;Powiat ostrowiecki;82,3
2608000;Powiat piñczowski;84,3
2609000;Powiat sandomierski;93,8
2610000;Powiat skar¿yski;81,0
2611000;Powiat starachowicki;77,8
2612000;Powiat staszowski;91,4
2613000;Powiat w³oszczowski;84,8
2661000;Powiat m.Kielce;93,2
2800000;WARMIÑSKO-MAZURSKIE;83,8
2801000;Powiat bartoszycki;79,3
2802000;Powiat braniewski;78,6
2803000;Powiat dzia³dowski;77,5
2804000;Powiat elbl¹ski;74,4
2805000;Powiat e³cki;79,2
2806000;Powiat gi¿ycki;77,1
2807000;Powiat i³awski;72,6
2808000;Powiat kêtrzyñski;72,8
2809000;Powiat lidzbarski;76,6
2810000;Powiat mr¹gowski;82,2
2811000;Powiat nidzicki;73,2
2812000;Powiat nowomiejski;70,7
2813000;Powiat olecki;75,7
2814000;Powiat olsztyñski;84,7
2815000;Powiat ostródzki;76,7
2816000;Powiat piski;79,4
2817000;Powiat szczycieñski;81,0
2818000;Powiat go³dapski;73,2
2819000;Powiat wêgorzewski;75,0
2861000;Powiat m.Elbl¹g;86,5
2862000;Powiat m.Olsztyn;100,2
3000000;WIELKOPOLSKIE;91,0
3001000;Powiat chodzieski;79,9
3002000;Powiat czarnkowsko-trzcianecki;82,9
3003000;Powiat gnieŸnieñski;79,1
3004000;Powiat gostyñski;83,1
3005000;Powiat grodziski;72,8
3006000;Powiat jarociñski;69,3
3007000;Powiat kaliski;74,6
3008000;Powiat kêpiñski;61,3
3009000;Powiat kolski;91,8
3010000;Powiat koniñski;89,1
3011000;Powiat koœciañski;80,0
3012000;Powiat krotoszyñski;72,8
3013000;Powiat leszczyñski;87,5
3014000;Powiat miêdzychodzki;76,9
3015000;Powiat nowotomyski;83,9
3016000;Powiat obornicki;84,2
3017000;Powiat ostrowski;80,9
3018000;Powiat ostrzeszowski;78,6
3019000;Powiat pilski;89,1
3020000;Powiat pleszewski;74,0
3021000;Powiat poznañski;92,1
3022000;Powiat rawicki;70,6
3023000;Powiat s³upecki;77,2
3024000;Powiat szamotulski;88,4
3025000;Powiat œredzki;88,9
3026000;Powiat œremski;80,3
3027000;Powiat turecki;80,6
3028000;Powiat w¹growiecki;78,0
3029000;Powiat wolsztyñski;72,5
3030000;Powiat wrzesiñski;77,3
3031000;Powiat z³otowski;77,9
3061000;Powiat m.Kalisz;83,1
3062000;Powiat m.Konin;93,9
3063000;Powiat m.Leszno;78,3
3064000;Powiat m.Poznañ;111,0
3200000;ZACHODNIOPOMORSKIE;90,8
3201000;Powiat bia³ogardzki;79,6
3202000;Powiat choszczeñski;81,9
3203000;Powiat drawski;75,4
3204000;Powiat goleniowski;88,2
3205000;Powiat gryficki;78,0
3206000;Powiat gryfiñski;85,0
3207000;Powiat kamieñski;80,3
3208000;Powiat ko³obrzeski;82,8
3209000;Powiat koszaliñski;80,5
3210000;Powiat myœliborski;78,0
3211000;Powiat policki;103,9
3212000;Powiat pyrzycki;77,1
3213000;Powiat s³awieñski;76,6
3214000;Powiat stargardzki;83,5
3215000;Powiat szczecinecki;84,3
3216000;Powiat œwidwiñski;72,3
3217000;Powiat wa³ecki;82,3
3218000;Powiat ³obeski;76,9
3261000;Powiat m.Koszalin;89,4
3262000;Powiat m.Szczecin;104,4
3263000;Powiat m.Œwinoujœcie;94,9
